"Sr no.","Name of the Inventor","Title of the Invention","IPA No.","Filed on","Patent Grant No.","Date"
"219","Dr. M. K. Ghorai (CHM), Mr. Masthanvali Sayyad (CHM), Mr. Yerramsetti Nanaji (CHM)","A One-pot Process for the Synthesis of Indole and Indole Derivatives","3880/DEL/2015","27.11.2015","342557","27.07.2020"
"218","Dr. Ashok Kumar (BSBE)","A Biodegradable Smoke Filter Material","884/DEL/2013","22.03.2013","342267","23.07.2020"
"217","Mr. Ravi Sankar,Student (ME), Prof. V K Jain (ME) & Dr. J Ramkumar (ME)","A Medium for Nano-finishing of Complex Component's Internal/external Surfaces and a Method for Preparation Thereof","712/DEL/2013","13.03.2013","342161","21.07.2020"
"216","Dr. Ashwani Kumar Thakur (BSBE) and Mr. B. Gunasekhar (Student)","Disaggregation and Solubilization of Synthetic Polypeptides","757/DEL/2015","20.03.2015","341560","14.07.2020"
"215","Mr. Auhin Kumar Maparu (Student, CE), Dr. Sri Sivakumar (ChE), Ms. Beena Rai (TCS), Dr. Ashutosh Sharma (ChE)","Polydimethylsiloxane (PDMS) Nanostructures and Process of Synthesis Thereof","201711021885","22.06.2017","341241","13.07.2020"
"214","Dr. Kamal K. Kar (ME), Mr. Amit Kumar Yadav (Student), Mr. Deepak Pandey (Student), Ms. Sowntharya Logapperumal (Student)","Method for Preparing Carbon Based Highly Flexible Smart Battery Micro Fiber in the Form of Lithium Ion Batteries","1985/DEL/2014","15.07.2014","340508","06.07.2020"
"213","Dr. Deepak gupta, MME, Mr.K.N.Narayanan Unni, Team Leader (Samtel), SCDT, MS.Girija S.Samal, Samtel Employee (resigned), SCDT","A Blue Organic Light Emitting Diode and Method of Fabrication Thereof","2214/DEL/2008","22.09.2008","340450","05.07.2020"
"212","Mr. Shiv Singh (Chemical) and Prof. Nishith Verma (Chemical)","Method for Preparation of Graphitic Carbon Micro-nanofiber-based Electrodes, Asymmetrically Dispersed with Bimetal Nanoparticles","654/DEL/2015","10.03.2015","340306","03.07.2020"
"211","Mr. Rama Satya Sandilya V (Student, MSE), Mr. Subhankar Khara (Student, MSE), Dr. Shashank Shekhar (MSE), Dr. Kallol Mondal (MSE), Dr. Sandeep Sangal (MSE)","Method of Producing Multi-layered Steel with Variable Compositions","201711017031","15.05.2017","340072","01.07.2020"
"210","Mr. Kaniska Biswas (PhD Student, DP), Mr. Pushpal Dey (RA,DP), Ms. Esha Ray (Student, Earth Sciences), Dr. B. Bhattacharya (ME), Dr. Tarun Gupta (CE)","Ergonomic Retractable Novel Stair (closed View)","301961","02.02.2018","Design","19.06.2020"
"21","Dr. Kamal K Kar (ME), Mr. Prahbat K.Agnihotri (MME), Sanjay Dasgupta, ISRO","A Nickel Coated Carbon Fiber Re-inforced Polymer Composites and a Method for the Preparation Thereof","3062/DEL/2005","16.11.2005","249343","18.10.2011"
"209","Mr. Raja Choudhary (MSE), Dr. Vandana Singh (MSE), Dr. Neelima Mahto (MSE), Dr. Kantesh Balani (MSE)","Suspension Agitator","923/DEL/2014","31.03.2014","338895","19.06.2020"
"208","Dr.Vivek Verma (MSE), Dr.Ramanathan Gurunath (Chem), Mr. Amit Kumar Sonker(Research Scholar,MSE),Mr.Mezigebu Belay(Research Scholar,MSE), Mr.KousarJahan(Research Scholar,MSE)","Development of Agar Based Bioplastics by Cross-linking with Diisocyanates","201811002306","19.01.2018","338729","18.06.2020"
"207","Mr. Tushar D. Deshpande (PhD, ChE), Mr. Yogesh R.G. Singh (Sr. Proj. Associate, Nanoscience), Dr. Sandip S. Patil (Project Scientist, Nanoscience), Dr. Yogesh M. Joshi (ChE), Dr. Ashutosh Sharma (ChE)","Method of Fabricating Microporous Elastomer Thin Films with Controllable Surface Pore Morphology and Monomodal Pore Size Distributions","201811000964","09.01.2018","338299","10.06.2020"
"206","Prof. Kamal K Kar (ME) and Mr. Raghunandan Sharma","Electrocatalyst for Oxygen Reduction Reaction in Fuel Cells from Bio-waste Feather Fiber","1390/DEL/2014","26.05.2014","337419","27.05.2020"
"205","Dr. Kantesh Balani (MSE), Mr. Abdul Rahim Siddiqui (PhD. Student, MSE)","Process for Preparation of Super Hydrophobic Coating","201611020049","11.06.2016","337294","26.05.2020"
"204","Dr. Sanjay G. Dhande (ME, Director, IIT Kanpur), Dr. Nachiketa Tiwari (ME), Ms. Joshima V. M. (M. Design Programme)","A System for Providing the Users a Secured Service Relating to Deposit, with drawal and Transfer of One of Inputted and Processed Data Including Financial Instrument","1629/DEL/2010","12.07.2010","337103","19.05.2020"
"203","Prof. Kamal K Kar (ME) and Mr. Raghunandan Sharma","Ferromagnetic Metal Nanoparticle Encapsulated Carbon Nanotubes as Nano-heaters for Cancerous Cell Treatment and Method of Manufacturing the Same","859/DEL/2014","25.03.2014","336939","18.05.2020"
"202","Dr. Ashutosh Sharma (ChE), Dr. Sri Sivakumar (ChE), Mrs. Gargi Mishra (PhD Student),Mr.Souryadeep Bhattacharyya (Student),","Polydimethylsiloxane (PDMS) Nanoparticles and Process of Synthesizing the Same for Ligand Free Intra-nuclear Delivery of Drugs","201711012363","07.04.2017","336663","11.05.2020"
"201","Prof. Kamal K Kar (MSP) and Mr. Jayesh Cherusseri (Research Scholar)","Multi-walled Carbon Nanotube Forest Grown on Carbon Fiber as Supercapacitor Electrodes and the Method of Preparation Thereof","1348/DEL/2014","22.05.2014","336221","29.04.2020"
"200","Dr. Bishakh Bhattacharya (ME), Mr. Ankur Agarwal (Student, ME)","A Modular Robotic System","2307/DEL/2011","08.08.2011","336061","27.04.2020"
"20","Dr. Bishakh Bhattacharya (ME), Mr. Atul R Sultane","A Green Harvesting Device for Low Power Electronic Equipment","232707","18/11/2010","Design","26.08.2011"
"2","Prof. S. Sundar Manoharan, Chem","Magneto-resistive CrO2 Polymer Composite Blend","US - 09/829,414","09.04.2001","6793841","21.09.2004"
"199","Dr. Y.N. Singh, Dept. of EE, Rajiv Srivastava Research Scholar(EE), & Rajat Kumar Singh, Research Scholar(EE)","All Optical Reflectors Based Wdm Optical Packet Switch","2707/DEL/2007","26.12.2007","335440","20.03.2020"
"198","Dr.Ashutosh Sharma (CHE),Mr.Rudra Kumar(Student,CHE) & Ms.Shilpa(Student,CHE)","Enhanced Electrochemical Performance of Waste Tyre Recycled Activated Carbon as an Anode in Li-ion Battery","201611031120","12.09.2016","335181","19.03.2020"
"197","Prof. Sanjay G Dhande, ME/CSE, Mr. Brij Mohan Shukla, PRE, CSE","Safety System for Vehicles","589/DEL/2011","04.03.2011","334574","13.03.2020"
"196","Mr.Santosh Pramanik(Jr. Tech Superintendent,4i), Mr.Kaniska Biswas(DP), Mr.Abhijit Chandra Roy(PhD Student, ChE)","Method for Fabricating Micro Structures","201711042059","23.11.2017","334378","11.03.2020"
"195","Prof.Ashok Kumar(BSBE) and Ms.Apeksha Damania (PhD Student,BSBE)","Integrated Hybrid Bio-artificial Liver Bioreactor Design and Thereof","UK - 201607061.7","22.04.2016","2548167","04.03.2020"
"194","Prof.B.Mazhari,EE Ankita gangwar,EE(PhD Student) 9559754253","A 3D Integrated Universal Digital Gate","201611005433","16.02.2016","333504","28.02.2020"
"193","Prof. Pradip Sinha (BSBE) , Dr. Anjali Bajpai (BSBE)","Novel Fly Tumor Model and Methods of Screening Drugs Thereon","899/DEL/2013","25.03.2013","332608","21.02.2020"
"192","Dr. Y. N. Singh & Mr. Manoj Panda (EE)","An Architecture for Rearrangebly Non Blocking All Optical Cross Connect Wavelength Division Multiplexing Switching System","2513/DEL/2005","16.09.2005","332320","18.02.2020"
"191","Dr. Siddhartha Panda, (Chemical), Mr. Satyendra Kumar (Complete)","A Nanotextured Surface Immobilized Structure-modified Enzyme Biocatalyst","2966/DEL/2012","24.09.2012","332019","14.02.2020"
"190","Dr. Siddhartha Panda, ChE, Mr. Abhishek Agarwal, M.Tech student, ChE","A Lithography Based Two Stage Reservoir in an Electrolyte Insulator Semiconductor Device","219/DEL/2010","01.02.2010","331541","07.02.2020"
"19","Dr. J Ramkumar, ME, Mr. Sathish Sekar","A Multipurpose Transporter with Modular Configuration","232708","18.11.2010","Design","26.08.2011"
"189","Prof. Sanjay G Dhande, ME, CSE, Mr. Brij Mohan Shukla, PRE, CSE","Signal Detection System","1617/DEL/2010","09.07.2010","331531","07.02.2020"
"188","Prof. Kamal K Kar (ME) and Mr. Pankaj Chamoli (Student)","A Green Reduction Approach for Graphene Oxide Into Graphene Nanosheets by Urea","2059/DEL/2014","21.07.2014","330807","30.01.2020"
"187","Prof. Kunal Ghosh, AE","A Horizontal Axis Wind Turbine for Augmenting Torque","212/DEL/2011","31.01.2011","330293","27.01.2020"
"186","Ms. Ekta Surender (Student, Design Prog.), Dr. Koumudi Patil (HSS & Design Prog.)","The Tinker RhinoDesign","324805-001","17.12.2019","Design","24.01.2020"
"185","Dr.Priyanka Ghosh,CE,Dr.Krishanu Biswas,MSE & Mr.Sreyashrao S(Student,CE)","Pond Ash-kaolinite Based Geopolymer Brick and Process for Manufacturing the Same","201711045206","15.12.2017","330194","24.01.2020"
"184","Mr. Shyam Sunder nishad (PhD Student, ME), Mr. Anirban Choudhary (PhD Student, ME), Dr. Ashish Dutta(ME), Dr. Anupam Saxena(ME)","Hand Exoskeleton for Assisting Stroke Patients in Full Extension Exercise of Three Fingers and Grasping/ball-squeezing Exercising","304112","27.03.2018","Design","08.01.2020"
"183","Mr. Shubham Sharma (M.Tech Student, EE), Dr. Santanu K. Mishra (EE)","A Noise Decoupling Method for Power PCBs in Low Power Converter DesignCopyright","18061/2019-CO/A","15.11.2019","A-132628/2020","07.01.2020"
"182","Dr. Sri Sivakumar (Che), Dr. Raj Ganesh Pala (Che), Ms. Shilpi Saxena (Student) and Mr. Rupesh Singh (Student)","Core -shell Sinter Resistant Nanosphere","1440/DEL/2014","30.05.2014","329228","10.01.2020"
"181","Dr. J Ramkumar, ME, Mr. Sathish Sekar","A Multipurpose Transporter with Modular Configuration","3157/DEL/2010","29.12.2010","326730","04.12.2019"
"180","SIIC Logo","Startup Incubation & Innovation CentreTrademark","4177624, 4177625, 4177626, 4177627In 4 Classes","15.05.2019","Trademark","28.11.2019"
"18","Prof. Anil Kumar (CHE), Mr. Manohar Lal Malhotra & Mr. Ashish Bhowmick, Jubilant Organosys, Noida","Process for Nitration of Macromolecules","2350/DEL/2004","23.11.2004","239584","25.03.2010"
"179","Dr. Amitabha Bandyopadhyay (BSBE), Mr. Paritosh Prashar (Student, BSBE), Mr. Prem Swaroop Yadav (BSBE)","A Method of Measuring BMP Signaling using BMP Responsive Reported Cell Line","1180/DEL/2012","17.04.2012","325545","21.11.2019"
"178","Prof. Kamal K Kar (ME) and Mr. Raghunandan Sharma","Ferromagnetic Nanoparticle Encapsulated Carbon Nanotubes with High Encapsulation/filling Ratio for High Density","846/DEL/2014","24.03.2014","325310","19.11.2019"
"177","Mr.Ashish Kumar Agarwal, Anil Bawa, both M.Tech student (EE) & Dr. Baquer Mazhari, Dept. of EE","A Dynamic Logic Family using only N or P-type Enhancement Mode-mosfet","2708/DEL/2007","26.12.2007","325232","18.11.2019"
"176","Dr.Sathesh Mariappan(AP,AE) Dr.Anand Singh(AP,Chm), Sai sandeep Dammati(AE,Student), Kuchimanchi K Bharadwaj(PhD Student,AE), Santosh D.Jadhav(Student,Chm)","Temperature Sensitive Paint for the Usage in Green Spectrum of Light","201611001597","15.01.2016","324934","13.11.2019"
"175","Prof. Sabyasachi Sarkar, Chem, Sharboni Ghoshal, M.Sc student, Chem, Sumit Kumar Sonkar, PhD Scholar, Chem.","Carbon Nanocomposite Preparation and Uses Thereof","1647/DEL/2010","14.07.2010","322641","11.10.2019"
"174","Dr. Tarun Gupta (CE), Mr. Roshna Kumar (Student, CHM), Mr. Ankur Bajaj (Student, BSBE)","Electrosurgical Cautery with Suction Inbuilt","320342-001","01.08.2019","Design","30.09.2019"
"173","Mr. Jeyakumar M (Student) and Dr. J Ramkumar (ME)","Tool for Measuring and Drawing Quadrilateral","258028","07.11.2013","Design","30.09.2019"
"172","Dr. Manas K Ghorai, Chem, Mr. Sandipan Halder, Research Scholar, Chem","Process for the Synthesis of Highly Functionalized Racemic and Non-racemic Piperidines","2403/DEL/2010","07.10.2010","321744","27.09.2019"
"171","Dr. Kamal K. Kar & Mr. Pradip Paik","A Process for Preparation of Nanoparticles of Higher Molecular Weight of Polystrene","1136/DEL/2013","17.04.2013","320069","09.09.2019"
"170","Dr. Sri Sivakumar, ChE, Dr. Ashok Kumar, BSBE , Mr. Haider Sami, Ph.D student, BSBE","Nanoparticles Loaded Polymer Capsules, Process for Synthesis and Application Thereof","409/DEL/2011","17.02.2011","319724","03.09.2019"
"17","Dr. J Ramkumar, ME, Dr. Satyaki Roy,HSS,Design Programme, Mr. Sathish Sekar, Student","The Drift-battery Operated Campus Vehicle","234987","03.07.2011","Design","01.01.2010"
"169","Dr. Kamal K. Kar, ME, Sk Ariful Rahman & Mr. Niranjan Patra, both PhD students & Mr. Sanjay Dasgupta, Group Director, ISRO","Controlled Growth of Carbon Nanocones on Carbon Fiber(s)/fabric and Method of Synthesis Thereof","1900/DEL/2008","12.08.2008","319669","02.09.2019"
"168","Dr. Kamal K. Kar & Mr. Pradip Paik","A process for preparation of nanoparticles of higher molecular weight of polyethylene polypropylene and polystyrene","1135/DEL/2013","25.11.2005","319562","30.08.2019"
"167","Mr. Jeyakumar M (Student) and Dr. J Ramkumar (ME)","Tool for Measuring and Drawing Triangles","258029","07.11.2013","Design","29.08.2019"
"166","Dr. Sri Sivakumar (Chemical), Dr. R G S Pala (Chemical), Mr. Arun Prakas Upadhyay (Chemical), Mr. Prasenjit Sadhukhan (Chemical)","Process for Immobilization of Liquid Crystal on Solid Surface","1128/DEL/2014","25.05.2014","319412","29.08.2019"
"165","Dr. S.P. Das & Dr. K.S. Venkatesh (EE), Mr. Pankaj Agarwal & Rajendu Choubisa (B.Tech EE class of 2004)","A Power Supply System for Electronic Devices","258/DEL/2007","07.02.2007","319334","29.08.2019"
"164","Dr.Kamal K Kar(ME), Mr. Jayesh Cherusuri(Student,ME)","Flexible Supercapacitors Utilizing Electrochemically Active Materials BasedNanocomposite Hybrid Electrodes and Method of Manufacturing Thereof","201611000089","01.01.2016","318824","23.08.2019"
"163","Dr. Y.N. Singh, Dept. of EE, Rajiv Srivastava Research Scholar(EE), & Rajat Kumar Singh, Research Scholar(EE)","WDM Optical Packet Switch Incorporating Fiber Bragg Gratings and Circulator","2706/DEL/2007","26.12.2007","318571","21.08.2019"
"162","Mr. Saumen Mandal, Mr. Rahul Sharma & Prof. Monica Katiyar, MSE & SCDT","A Hybrid Ink Formulation and a Method for Preparing the Same","1161/DEL/2012","16.04.2012","317139","30.07.2019"
"161","Prof. Animesh Biswas, EE, Mr. Kumar Vaibhav Srivastava, Mr. Vishwa V. Mishra","Dielectric Resonator","1972/DEL/2004","11.10.2004","316377","18.07.2019"
"160","Prof. Sri Sivakumar, Prof. Deepak Kunzru (Chemical), Mr. Sachin Pal (Student) and Mr. Rupesh Singh (Student)","Metallic Nanocatalyst and Process of Preparation Thereof","394/DEL/2015","11.02.2015","314732","26.06.2019"
"16","Prof. S Sundar Manoharan, Chemistry, Dr. T R Muralidharan,Professor, Cardiologist,Sri Ramachandra Medical College,Porur, Chennai","A Coronary Stent with Nano Coating of Drug Free Polymer and a Process for Preparation Thereof","1197/DEL/2009","11.06.2009","291502","11.06.2009"
"159","Dr. AR. Harish, EE & Mr.Ravi Kr. Joshi Ph.D. student (EE)","Wide Band Loop Antenna","1594/DEL/2006","07.07.2006","312928","21.05.2019"
"158","Dr. Sri Sivakumar, (Chemical), Dr. Raj Ganesh S Pala, (Chemical), Dr. Ragina Ragan, (Chemical & MSE), Mr. Arun Prakash Upadhyay","Process for the Production of Directed Assembly of Tailored Monolayer and Multilayers of Nanoparticles on a Substrate","2169/DEL/2013","19.07.2013","311933","30.04.2019"
"157","Prof. Nishith Verma (Chemical), Dr. J Ramkumar (ME) and Mr. Prateek Khare (PhD)","Polymeric Nanocomposite Films with Embedded Channels and Methods of Their Preparation and Use","US - 15/115,263","20.01.2015","10258975","16.04.2019"
"156","Prof.Ashok Kumar(BSBE) and Ms.Apeksha Damania (PhD Student,BSBE)","Integrated Hybrid Bio-artificial Liver Bioreactor Design and Thereof","US - 15/224,055","29.07.2016","10245368","02.04.2019"
"155","Dr. Kamal K. Kar, ME & S.K. Ariful Rahman, PhD student","Method of Manufacturing of Carbon Nano Tube Coated Glass Fiber/ Fabric and its Hybric Nanocomposites","1996/DEL/2008","22.08.08","311758","29.04.2019"
"154","DORA","SMC Logo","3980574","23.10.2018","Trademark","17.04.2019"
"153","Dr. Ashish Garg, MME, Dr. B.K. Mishra,MME & Tapendu Mandal, PhD student (MME","Process for Synthesis of Nanocrystalline Hydroxyapatite","828/DEL/2008","28.03.2008","310802","03.04.2019"
"152","Mr. Santosh Pramanik (JTS, 4iLab), Mr. Kaniska Biswas (Student, DP), Dr. Pratik Sen, Chem","Designing Improvement and Implementing New Features to Conventional Ro(reverse Osmosis) Water Purifier Sytems","304338","03.04.2018","Design","05.03.2019"
"151","Dr. Manas Kumar Ghorai, Chem, Deo Prakash Tiwari, Research Scholar, Chem","Process for Prepartion of Chiral Ã Lactams","1870/DEL/2010","10.08.2010","308652","06.03.2019"
"150","Dr. Ajit Kr Sharma, (Chemical Engg.), Dr Jayant K Singh, (Chemical Engg., Dr. Nishith Verma, (Chemical Engg.)","Polymeric Nanocomposites and Methods for their Preparation and Use","US - 14/435,432","01.10.2013","10227458","12.03.2019"
"15","Dr. D Manjunath, Jayesh V Shah","Split-table Atm Multicast Switch","983/DEL/1997","17.04.1997","233357","29.03.2009"
"149","Prof. Partha Sarathi Sensarma (EE) and Mr. Vasav Gautam","Photovoltaic Inverter System","1978/DEL/2014","14.07.2014","307744","21.02.2019"
"148","Dr. V.K. Jain, ME, Dr. R.Shekhar, MME, Dr. D.S. Bilgi, Mrs. Anjali V. Kulkarni, SRE, ME & Mr. Aatish Chavan, M.Tech (ME)","Process for Drilling Contoured Deep Hole in Super Alloys using Sted to Enhance Cooling in Turbine Blades","1134/DEL/2007","29.05.2007","307582","19.02.2019"
"147","Dr. J RamKumar, Dept of ME, Dr. Prashant Kumar, Dept of ME","Fabrication of Jute Fiber Sandwitch Composites","1688/DEL/2008","16.07.2008","306920","06.02.2019"
"146","Dr. Arnab Bhattacharya (CSE) , Mr. Shashwat Mishra","Multiple Criteria Decision Analysis in Distributed Databases","US - 14/770,095","19.02.2014","10198481","05.02.2019"
"145","Dr. C. Venkatesan, AE, Dr. A. Kushari AE and Dr. C.S. Upadhyay, AE ,Mr. Sanjeev Kr. Gupta, Sr. Pro. Asso, AE","Piston Based Resistor","1886/DEL/2007","06.09.2007","306832","05.02.2019"
"144","Dr. Monica Katiyar , Ms. Asha Sharma, Dr. Deepak Gupta, Dr. ShuSeki","An Improved Organic Light Emitting Doide, and Improved Light Emitting Doide for Tuning the White Emission and Process for Fabrication Threof","1532/DEL/2005","14.06.2005","306138","23.01.2019"
"143","Dr. Animangsu Ghatak, CHE, Ms. Anindita Sengupta Ghatak, Post Doctoral Fellow, CHE","A System for Generating Crystal of Desired Size and Number Density of a Biomolecule, and Process Thereof","1054/DEL/2011","11.04.2011","306053","22.01.2019"
"142","Dr. Anish Upadhyaya (MME) & Mr. G. Swaminathan, Sr. DGM, BHEL, Hybd","Tubular Microwave Sintering Furnace","1147/DEL/2006","09.05.2006","304557","17.12.2018"
"141","Dr. Bikramjit Basu, MME, Mr. K Madhav Reddy, M.Tech student, MME, K Pavani","Advanced Sintering System","1792/DEL/2010","30.07.2010","304051","05.12.2018"
"140","Prof. Bishakh Bhattacharya, Prof. Nachiketa Tiwari, Dr. J Ramkumar, Mr. Girijesh Mathur (Design) , Mr. Shivyansh Tandon (Mathematics), Mr. Chetan Lodhi (BSBE)","Packaging System for Large Caliber Ammunition","280638","18.02.2016","Design","03.12.2018"
"14","Prof. S. SundarManoharan, CheM, Ranjan Kumar Shahu, Manju Lata Rao, M. Qureshi, J.prasanna","Method for the Synthesis of Y-FE2O3","532/DEL/2001","27.04.2001","230364","26.02.2009"
"139","Mr. L V Sairam Jagatani, Student, Dr. Nirmalya Guha, HSS, Dr. J Ramkumar, ME","Interactive Board Game","249922","05.12.2012","Design","22.11.2018"
"138","Dr. K S Venkatesh, EE, Mr. Durga Prasad Kethineedi, M.Tech Student, EE","A Process for Compression of Surveillance Video Data for Long Storage in Smaller Storage Medium","2438/DEL/2009","26.11.2009","303133","15.11.2018"
"137","Dr. Arnab Bhattacharya (CSE) , Mr. Shashwat Mishra","Multiple Criteria Decision Analysis in Distributed Databases","CHINA - 112014000072395","19.02.2014","105900057","02.10.2018"
"136","Dr. S.S.K.Iyer, EE, Dr.S.Quershi, EE, Mr.Sajad A.Lone,Ph.D student (EE)","An Improved Lateral Bipolar Junction Transistor (BJT) on Selective Buried Oxide (selbox) and a Method for Manufacturing the Same","1478/DEL/2008","20.06.2008","300909","10.09.2018"
"135","Prof. Anil Kumar, ChE, Dr. Nitin Kaishtha, ChE","Superior and Cost Effective Grease Feedstock from Polyethylene Mixed Waste","614/DEL/2010","16.03.2010","300779","06.09.2018"
"134","Dr Arnab Bhattacharya, (CSE), Ms. Avani Nandini, Student (CSE)","Multiple Criteria Decision Analysis","US - 14/429,064","18.03.2015","10,007, 883","26.06.2018"
"133","Ms. Shanu Sharma,Student (DP), Dr. Bishakh Bhattacharya, (DP), Mr. Arvind Shanmuga Sundaram M, Student, (DP) & Dr. J Ramkumar (DP)","Hand Pump","249921","05.12.2012","Design","19.06.2018"
"132","Dr. Anjan Kumar Gupta Dept. of Pysics Mr. Reetesh Kr. Singh & Mr. Rajiv Shankar Sinha, students (Phy)","Two Dimensional Nano Positioner","323/DEL/2007","15.02.2007","297474","07.06.2018"
"131","Mr. Kaniska Biswas(PhD Student, DP), Dr.Tarun Gupta (CE), Mr. Santosh Pramanik (JTS, 4i Lab)","Air Sampler","291998","23.03.2017","Design","05.06.2018"
"130","IIT Kanpur","Trademark"," ","23.05.2017","Trademark","31.05.2018"
"13","Prof. D.P.Rao ChE","A Novel Rotating Packed Bed (RPB) Device for Distillation Process","358/DEL/2004","03.04.2004","226874","29.12.2008"
"129","Mr. Karthik PB (Student,DP), Dr. Koumudi Patil (HSS)","Aligno, a Multi Layered Physical Map(Copyright)","9009/2017-CO/L","30.05.2017","L-74356/2018","10.04.2018"
"128","Dr. B. Basu, MME, Dr. Shantanu Bhattacharya, ME & Rajeev Kumar Singh (PhD scholar ME)","A Method for Creation of 2 and 3-dimensional Micro Channels of Varied Dimensions using Replication and Molding Around a Wire","1455/DEL/2008","18.06.2008","295640","10.04.2018"
"127","Prof. K S Venkatesh(EE), Mr. Yogesh Soniwal, Dr Amit Mitra (Maths-Stats)","Convergent Monotonic Matrix Factorization Based Entire Frame Image Processing","US - 14/883,645","15.10.2015","9940868","10.04.2018"
"126","Mr. Kaniska Biswas(PhD Student, DP), Dr.Tarun Gupta (CE), Mr. Santosh Pramanik (JTS, 4i Lab)","Air Sampler","291999","23.03.2017","Design","30.03.2018"
"125","Dr.J.Ramkumar(ME), Dr. Raman Saxena(ISB), Mr. Shailendra Kumar(DP)","Bicycle for Vegetable Transport","289823","04.01.2017","Design","23.03.2018"
"124","Mr. Kaniska Biswas (Student, DP), Anirudh Kurup(RA, DP), Anurag Yadav (RA, CE), Dr. Tarun Gupta (CE)","Torchchucks, a New Type of Nunchucks Designed with Two Inbuilt Torch","293892","19.05.2017","Design","20.03.2018"
"123","Dr. K. K. Kar, ME & Mr. Ahankari Sandeep Sureshrao, PhD.Student ,MME","A Functionally Graded Elastomer Nanocomposites (FGENCS) and a Process for Preparation Thereof","3125/DEL/2005","23.11.2005","294568","20.03.2018"
"122","Dr. Debabrata Goswami, Chemistry and students Sumit Ashtekar, M.Sc. (Integrated-Chemistry) & Amit Nag, Graduate , Chemistry","Optical Enhancement of Two-photon Absorption Process","704/DEL/2008","19.03.2008","294338","15.03.2018"
"121","Dr. Koumudi Patil (HSS), Mr. Ashish Mohandas (DP, Student)","Hand Lamp","293893","19.05.2017","Design","15.03.2018"
"120","Prof. Ashutosh Sharma (Che), Mr. Kunal Mondal (Student, Che) and Mr. Shishir Katiyar (Project Ass, Che)","Hierarchically Porous Polymer, Carbon, Silica and Composite Carbon/silica Monoliths with Ultra High Bet Surface Area Synthesized by Combined Templated Sol-gel and Micro-phase Separation for Applications in Supported Metal Catalysis","US - 14/683,070","09.04.2015","9908102","06.03.2018"
"12","Prof. S. Sundar Manoharan (Chem)","Magnetic Cro2 &#8211; Polymer Composite Blends","933/DEL/2000","22.09.2000","217159","27.03.2008"
"119","Dr. Rashmi Sanghi, FEAT Lab, Ms.Preeti Verma, Feat Lab","A Method for Preparing Auto Capped Nano Particles Such as CDS in Continuous Flow Columns","1395/DEL/2008","12.06.2008","293606","28.02.2018"
"118","Dr.J.Ramkumar, ME, Mr. Vimal C (Student,Design)","Irilla (Lamp)","292052","17.04.2017","Design","07.02.2018"
"117","Mr. Kaniska Biswas(PhD Student, DP), Dr.Tarun Gupta (CE), Mr. Santosh Pramanik (JTS, 4i Lab)","Sensor for Black Carbon Determination of Air Sampler","292000","23.03.2017","Design","26.01.2018"
"116","Prof. Baquer Mazhari, (EE), Ms. Ankita Gangwar","Organic Thin Film Transistor Merged with a Light Emitting Diode Using an Accumulation Layer as Electrode","CHINA - 201510109094.0","12.03.2015","104916659","26.12.2017"
"115","Ms. Ritika Singh (Student, DP), Dr. Koumudi Patil (HSS)","Katha(Copyright)","9621/2017-CO/L","16.06.2017","L-71516/2017","19.12.2017"
"114","Prof. Nishith Verma, Prof. Ashutosh Sharma and Mr. Prateek Khare","Metal Nanoparticles-doped Antibacterial Agents and Methods of Preparation and Use","US - 14/462,580","19.08.2014","9844222","19.12.2017"
"113","Dr.J.Ramkumar(ME), Dr. Raman Saxena(ISB), Mr. Shailendra Kumar(DP)","Bicycle for Carrying Food Articles","289821","04.01.2017","Design","04.12.2017"
"112","Dr. Raghubir Singh Anand SRE (EE), Dr. Anjali Giri Sr. Project Asso. (EE) & Mr. Ramesh Prasad, Project Technician (EE)","An Organic/polymer Low Information Content Displays","1525/DEL/2006","28.06.2006","290069","29.11.2017"
"111","Dr. Kamal K. Kar, ME & Sumit Pramanik, PhD student","Spherical Crystalline Nano Hydroxyapatite and Method of Manufacture from Calcium Oxide","1901/DEL/2008","12.08.2008","290045","28.11.2017"
"110","Prof. Nishith Verma, Prof. Ashutosh Sharma and Mr. Prateek Khare","Metal Nanoparticles-doped Antibacterial Agents and Methods of Preparation and Use","CHINA - 201410410762.9","20.08.2014","104770395","28.11.2017"
"11","Prof. S. SundarManoharan (Chem), Manju Lata Rao","A Magnetic Polymer Composition and Process for the Preparation of the Same","858/DEL/2000","22.09.2000","216744","24.03.2008"
"109","Prof. B Mazhari, (EE), Mr. Arjit Ashok, Student, (EE)","Four-terminal Gate-controlled Thin- Film Organic Thyristor","US - 15/026,705","28.12.2013","9831453","28.11.2017"
"108","Prof. Nishith Verma, ChE & Prof. Ashutosh Sharma, ChE","Process for Synthesis of Sonicated Hierarchal Web of Carbon Micro-nano-fiber and Applications Thereof","1157/DEL/2009","05.06.2009","289550","14.11.2017"
"107","Dr. Ajit Kr Sharma, (Chemical Engg.), Prof.Ashutosh Sharma, (Chemical Engg.), Prof. Nishith Verma, (Chemical Engg.)","Bi-metal Nanoadsorbents and Methods for Their Preparation and Use","US - 13/482,564","29.05.2012","9809466","07.11.2017"
